Date,TestData,TestData2
2000-01-01,59.2,63.14458997
2000-02-01,58.9,59.57128548
2000-03-01,58.4,61.79357897
2000-04-01,58.4,60.92768637
2000-05-01,58.3,61.07014942
2000-06-01,58,60.74759317
2000-07-01,57.9,59.25351205
2000-08-01,57.9,59.00431633
2000-09-01,57.6,60.38901551
2000-10-01,57.5,61.27199113
2000-11-01,57.4,61.13881568
2000-12-01,57.5,58.26666382
2001-01-01,57.1,58.79546966
2001-02-01,56.9,57.23773321
2001-03-01,56.7,61.68873618
2001-04-01,56.5,58.4946298
2001-05-01,56.3,58.87970197
2001-06-01,56.2,58.71299746
2001-07-01,56.3,58.15527369
2001-08-01,56.3,57.61587971
2001-09-01,56.1,57.38246356
2001-10-01,56.3,60.61472725
2001-11-01,56.4,60.20998265
2001-12-01,56.6,57.74821633
2002-01-01,56.5,58.67801502
2002-02-01,56.2,56.63394556
2002-03-01,55.9,59.30486469
2002-04-01,55.6,58.61971207
2002-05-01,55.6,56.4774133
2002-06-01,55.6,59.69805143
2002-07-01,55.5,56.683913
2002-08-01,55.4,55.90020257
2002-09-01,55.3,56.68144565
2002-10-01,55.2,59.72715033
2002-11-01,55.2,55.91347478
2002-12-01,55.3,58.05443181
2003-01-01,55,56.50834587
2003-02-01,54.6,57.49263887
2003-03-01,54.3,57.2055833
2003-04-01,54.4,56.88145204
2003-05-01,54.5,58.67704787
2003-06-01,54.4,55.34163463
2003-07-01,54.4,57.4112146
2003-08-01,54.2,57.80586443
2003-09-01,54,57.75595648
2003-10-01,54,57.95260989
2003-11-01,54.2,59.10206234
2003-12-01,54.3,58.87932114
2004-01-01,54,57.2924303
2004-02-01,53.7,57.20092582
2004-03-01,53.4,54.33081449
2004-04-01,53.2,55.63404641
2004-05-01,52.9,53.46328321
2004-06-01,52.7,56.30693406
2004-07-01,52.8,52.92906803
2004-08-01,52.8,56.32040892
2004-09-01,52.7,53.07584677
2004-10-01,52.4,54.83163317
2004-11-01,52.4,54.40967005
2004-12-01,52.5,56.57318823
2005-01-01,52.4,55.78131911
2005-02-01,52.1,53.9715038
2005-03-01,51.7,52.95373364
2005-04-01,51.4,53.20184476
2005-05-01,51.4,55.95139981
2005-06-01,51.4,55.61093767
2005-07-01,51.2,52.35618927
2005-08-01,50.9,55.60241626
2005-09-01,50.3,50.95671908
2005-10-01,50.2,53.16655542
2005-11-01,50.6,52.37273316
2005-12-01,50.8,54.02521893
